"","District","District Name","Vote Date","Total Amount","Type","Yes","No","Result","Brief Description","capital_ref"
"2022","6083","Waterford UHS",2019-04-02,9950000,"Issue Debt",2313,2308,"Passed","for the purpose of paying the costs of remodeling, improvements, upgrades, and expansions to the District’s existing school facility including classroom upgrades; safety upgrades; remodeling and expansion of family consumer science, art and agriculture labs and classrooms; upgrades to technology infrastructure; creation of a technology center; fitness center expansion; addition of outdoor storage and athletic/concession buildings; lighting upgrades; roof replacement; upgrades and replacement of heating and air conditioning components; parking lot and entrance  improvements; and equipment acquisition related to said projects.",1
"2023","6083","Waterford UHS",2022-04-05,19750000,"Issue Debt",2097,2310,"Failed","Authorize a borrowing in an amount not to exceed $19,750,000 through the issuance of general obligation bonds of the District for the public purpose of paying the cost of a school facility improvement project at the district building and grounds consisting of: building systems, capital maintenance, safety, security and site improvements; renovations and building modernization; and acquisition of furnishings, fixtures and equipment.",1
"2024","6083","Waterford UHS",2023-04-04,24500000,"Issue Debt",3486,3937,"Failed","Authorize a borrowing in an amount not to exceed $24,500,000 through the issuance of general obligation bonds of the District for the public purpose of paying the cost of a school facility improvement project at the district building and grounds consisting of: improving safety and security, renovating a former elementary building and making other site improvements: updating older portions of the high school; improving the softball and soccer complexes: performing capital maintenance and building systems upgrades and acquiring furniture, fixtures and equipment.",1
"2025","6118","Waterloo",1994-02-15,4400000,"Issue Debt",100,500,"Failed","add to elem",1
"2026","6118","Waterloo",1995-02-21,2700000,"Issue Debt",396,422,"Failed","11 clsrm add to elem, elem gym",1
"2027","6118","Waterloo",1995-05-09,2700000,"Issue Debt",606,465,"Passed","11 clsrm add to elem, elem gym",1
"2028","6118","Waterloo",2000-11-07,1520000,"Issue Debt",1184,1006,"Passed","add 6 MS classrooms; renovate MS restroom/elevator, expand HS cafeteria;add weight room",1
"2029","6118","Waterloo",2008-02-19,1500000,"Issue Debt",1082,334,"Passed","REPLACE HIGH SCHOOL BOILERS AND RELATED HVAC UPGRADES",1
"2030","6118","Waterloo",2018-08-14,8900000,"Issue Debt",664,590,"Passed","$8,900,000 for a District-Wide School Building Program consisting of a fitness center and gymnasium.",1
"2031","6125","Watertown",2006-11-07,29500000,"Issue Debt",5452,5652,"Failed","To construct a new elementary school and renovate (additions/remodel)to Schurz and Webster Elementary Schools",1
"2032","6125","Watertown",2006-11-07,8e+05,"RR - 2008",4833,6163,"Failed","To exceed revenue caps in the amount of $800,000 on a recurring basis for the purpose of operations related to the construction of a new elementary school.",1
"2033","6125","Watertown",2007-04-03,28900000,"Issue Debt",2928,4205,"Failed","Remodel and Renovate Schurz and Webster Elementary Schools and construct a new elementary school",1
"2034","6125","Watertown",2008-11-04,22385000,"Issue Debt",7536,6465,"Passed","The purpose of this referendum is to remodel, renovate and add additions to school buildings throughout the District.",1
"2035","6125","Watertown",2012-04-03,6200000,"Issue Debt",3195,3067,"Passed","For the purpose to replace roofs at Watertown High School and Riverside Middle School.  In addition facility improvements would be conducted at the High School and the Middle School with an emphasis on the Middle School.",1
"2036","6174","Waukesha",2001-04-03,24400000,"Issue Debt",10200,7339,"Passed","renovate, remodel, improve district buildings/facilities",1
"2037","6174","Waukesha",2018-11-06,6e+07,"Issue Debt",28244,14900,"Passed","The purpose of this referendum is to approve borrowing of $60,000,000 for improvements to our school buildings, with a large focus on safety improvements.",1
"2038","6181","Waunakee Community",1995-02-21,6980000,"Issue Debt",1578,1031,"Passed","new 90,000 sq ft, 724 stud EC-4",1
"2039","6181","Waunakee Community",1998-09-08,2160000,"Issue Debt",1752,1040,"Passed","buy land; upgrade technology; improvements",1
"2040","6181","Waunakee Community",2000-04-04,3.8e+07,"Issue Debt",1690,2172,"Failed","construct/equip new H.S., construct addition to existing M.S., convert for grades 5-6, remodel existing H.S., demolish/reconstruct portions of elem school install security/technical upgrades to facilities",1
"2041","6181","Waunakee Community",2000-04-04,3500000,"Issue Debt",1376,2445,"Failed","construct swimming pool at new H.S.",1
"2042","6181","Waunakee Community",2000-04-04,5e+05,"RR - 2002",1518,2314,"Failed","operating, staffing, maintaining District's new H.S. and renovated M.S.",1
"2043","6181","Waunakee Community",2001-02-20,39900000,"Issue Debt",1891,2333,"Failed","construct/equip new HS; convert/remodel old HS to MS; convert intermediate school to 2 elem schools",1
"2044","6181","Waunakee Community",2001-11-06,5300000,"Issue Debt",1238,370,"Passed","maintenance and remodeling program",1
"2045","6181","Waunakee Community",2003-02-18,3.7e+07,"Issue Debt",2138,3332,"Failed","construct new HS facility for grades 9-12; remodel existing HS and convert to grades 7-8; convert existing MS to grades 5-6 school; convert existing intermediate school to grades k-4; acquistion of equipment",1
"2046","6181","Waunakee Community",2004-02-17,2.3e+07,"Issue Debt",3819,1906,"Passed","construct addition to and remodel of HS; acquire equipment/furnishings for HS; construction of site improvements",1
"2047","6181","Waunakee Community",2004-02-17,1400000,"Issue Debt",3892,1815,"Passed","acquire approximately 40 acres of land (Gilles property) including reimbursement of any acquisition costs incurred by the district",1
"2048","6181","Waunakee Community",2005-02-15,6e+05,"RR - 2006",1634,1382,"Passed","operating expenses relating to new or expanded district facilities",1
"2049","6181","Waunakee Community",2005-02-15,20750000,"Issue Debt",1874,1164,"Passed","construction and equipping of new elementary school; renovate, remodel, construction of an addition to and acquisition of equipment for existing middle school; renovate and upgrades to and acquisition of equipement for Heritage/Intermeditate School.",1
"2050","6181","Waunakee Community",2005-02-15,2200000,"Issue Debt",1632,1388,"Passed","financing and constructing and equipping of a gymnasium for the middle school and related costs.",1
"2051","6181","Waunakee Community",2010-04-06,24950000,"Issue Debt",1951,2094,"Failed","public purpose of paying the cost of a school building program, consisting of the construction, furnishing and equipping of a new elementary school; and the construction of additions to and remodeling, furnishing and equipping of Prairie Elementary School and Heritage/Intermediate School",1
"2052","6181","Waunakee Community",2010-04-06,8450000,"Issue Debt",2033,2009,"Passed","paying the cost of a school building program, consisting of the construction of additions to, roof replacement at and remodeling, furnishing and equipping of Waunakee High School",1
"2053","6181","Waunakee Community",2014-11-04,2160000,"RR - 2014",5692,3841,"Passed","Operating expenses for expanded facilities and increased technology and maintenance spending",1
"2054","6181","Waunakee Community",2014-11-04,44800000,"Issue Debt",5981,3606,"Passed","To build new Intemediate School, to expand and remodel Prairie Elementary, to remodel Heritage Elementary",1
"2055","6181","Waunakee Community",2022-11-08,1.75e+08,"Issue Debt",6518,5866,"Passed","Construction of a new Heritage Elementary School on district-owned land; construction of a new middle school on district-owned land; removal of the current Heritage Elementary School building; district-wide renovations, capital maintenance and site improvements; and acquisition of furnishings, fixtures and equipment.",1
"2056","6181","Waunakee Community",2022-11-08,1e+07,"NR - 2022",7469,4923,"Passed","Purposes consisting of expenses related to attracting and retaining staff, operating and maintaining any additional school facilities, and maintaining current programs and services.",1
"2057","6195","Waupaca",1998-11-03,170000,"RR",2269,2656,"Failed","exceed revenue limit for pool operation",1
"2058","6195","Waupaca",1998-11-03,1475000,"Issue Debt",2458,2513,"Failed","swimming pool",1
"2059","6195","Waupaca",1998-11-03,31840000,"Issue Debt",3719,1335,"Passed","facility remodeling & construction",1
"2060","6216","Waupun",1996-05-07,19600000,"Issue Debt",1082,1918,"Failed","new 138,250 sq ft MS on 38 acre site.",1
"2061","6216","Waupun",1998-02-17,2205000,"Issue Debt",1533,3135,"Failed","swimming pool at new h.s.",1
"2062","6216","Waupun",1998-02-17,2395000,"Issue Debt",1802,2878,"Failed","auditorium at new h.s.",1
"2063","6216","Waupun",1998-02-17,1280000,"Issue Debt",2042,2643,"Failed","athletic facilities at new h.s.",1
"2064","6216","Waupun",1998-02-17,6e+05,"RR",2135,2578,"Failed","exceed rev limit for operating new facilities, recurring",1
"2065","6216","Waupun",1998-02-17,2.8e+07,"Issue Debt",2417,2207,"Passed","new h.s; remodel old h.s; add to & remodel  5 elem schools",1
"2066","6216","Waupun",2006-04-04,2600000,"NR - 2006",1340,2382,"Failed","maintaining current educational programs and facilities",1
"2067","6216","Waupun",2008-04-01,1e+07,"NR - 2008",1981,2570,"Failed","general operation and maintenance expenses including installing security systems and repair projects at various District buildings",1
"2068","6216","Waupun",2009-02-17,450000,"NR - 2009",1807,1926,"Failed","For capital improvements and maintenance expenses",1
"2069","6216","Waupun",2009-02-17,450000,"NR - 2009",1854,1879,"Failed","For acquiring educational resources, including textbooks and classroom support materials",1
"2070","6223","Wausau",1995-12-05,1.1e+07,"Issue Debt",2865,2855,"Passed","$14 million for 2 new elem & elem add",1
"2071","6223","Wausau",1999-02-16,65383000,"Issue Debt",7260,4459,"Passed","new East H.S; new el. Sch; improve West H.S & 4 e.s.",1
"2072","6223","Wausau",2020-11-03,1.55e+08,"Issue Debt",12698,15228,"Failed","Borrow $155,000,000 for building a new elementary school on the current Grant Elem site, building an Environmental Learning Center at the school forest and for modernization, improvements, and upgrades to buildings district wide.",1
"2073","6223","Wausau",2021-04-06,4e+06,"RR - 2021",6002,5445,"Passed","To exceed the revenue limit by $4,000,000 beginning with the 2021-2022 school year, for recurring purposes consisting of expenses related to maintaining educational programs and staffing, providing full pupil services teams at each elementary school, and other safety, operational, and maintenance expenses?",1
"2074","6223","Wausau",2021-04-06,148800000,"Issue Debt",5676,5749,"Failed","Issue debt in the amount of $148,800,000 for district-wide safety and security, school modernization, building infrastructure, capital maintenance and site improvements; remodeling at the elementary, middle and high schools; construction of additions at Horace Mann and John Muir Middle Schools, West High School and Grant, Lincoln, Hawthorn Hills, Maine, Rib Mountain, Riverview, South Mountain and Stettin Elementary Schools; construction of a new School Forest Environmental Center; and acquisition of furnishings, fixtures and equipment?",1
"2075","6223","Wausau",2022-04-05,119800000,"Issue Debt",6412,4360,"Passed","Borrow $119,800,000 to fund district-wide safety and security, school updates, building infrastructure, capital maintenance and site improvements; remodeling at all middle and high schools; construction of additions at Horace Mann and John Muir Middle Schools, West and East High Schools and Grant, Riverview, South Mountain and Stettin Elementary Schools; construction of a new School Forest Environmental Learning Center; and acquisition of furnishings, fixtures and equipment.",1
"2076","6244","Wauwatosa",2018-11-06,124900000,"Issue Debt",15990,10510,"Passed","For the public purpose of paying the cost of a building and improvement program consisting of:  construction of four elementary schools on existing sites and removal of all or part of the existing buildings; District-wide renovation, site improvements, safety and security updates, capital improvements, HVAC systems upgrades, ADA updates, and classroom upgrades; acquisition of related fixtures, furnishings and equipment; and remodeling the technical education classrooms and lab spaces at East and West High Schools.",1
